               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11731,            0.026833,              0.1047,                   0,                   0,                   0,                   0,            0.092835,             0.02938,             0.10067,              0.0712,              0.0032,              0.0032
                   1,            0.083488,            0.025552,            0.098575,          0.00041806,           0.0072464,           0.0074213,           0.0037106,            0.084378,            0.027641,            0.097249,            0.041371,           0.0063713,           0.0063713
                   2,             0.07389,            0.025708,            0.096036,           0.0038801,             0.39969,            0.010717,           0.0031159,            0.065418,            0.025454,            0.096287,            0.011412,           0.0094119,           0.0094119
                   3,             0.06541,            0.021131,            0.093587,             0.54704,            0.065762,             0.05611,            0.021962,            0.057551,            0.024632,            0.093386,            0.009406,            0.009406,            0.009406
                   4,            0.058721,            0.018656,            0.091418,             0.92737,            0.059911,             0.10089,             0.03446,            0.052326,            0.023823,             0.09106,            0.009406,            0.009406,            0.009406
                   5,            0.053746,            0.016648,            0.089198,             0.72663,             0.13161,             0.10774,            0.042557,             0.04564,            0.019871,            0.089339,            0.009208,            0.009208,            0.009208
                   6,            0.050648,            0.015317,            0.086891,             0.78356,             0.11005,             0.10421,            0.056257,            0.042755,            0.017822,            0.087892,             0.00901,             0.00901,             0.00901
                   7,            0.049062,             0.01386,              0.0845,             0.82833,              0.1117,             0.11831,            0.074203,             0.04072,            0.015972,            0.086441,            0.008812,            0.008812,            0.008812
                   8,            0.047481,              0.0125,            0.083987,             0.82559,             0.11163,             0.12806,            0.073245,            0.040633,            0.014876,            0.085232,            0.008614,            0.008614,            0.008614
                   9,            0.045911,            0.011827,            0.082037,             0.84755,             0.12328,             0.14308,            0.076543,            0.040543,            0.013918,             0.08402,            0.008416,            0.008416,            0.008416
                  10,            0.043309,            0.011443,            0.082836,             0.80558,             0.15399,             0.15173,            0.073594,            0.042592,            0.013594,             0.08327,            0.008218,            0.008218,            0.008218
                  11,            0.043527,            0.011022,            0.081348,             0.82377,             0.13097,             0.15962,             0.09895,            0.036448,            0.012896,            0.082347,             0.00802,             0.00802,             0.00802
                  12,            0.042249,            0.010808,            0.079199,             0.83349,             0.10685,             0.15468,            0.089489,            0.037152,            0.012552,            0.081179,            0.007822,            0.007822,            0.007822
                  13,            0.040853,            0.010273,            0.078793,             0.84472,             0.14842,             0.15563,            0.089662,            0.035415,            0.012382,             0.07996,            0.007624,            0.007624,            0.007624
                  14,            0.040123,              0.0101,            0.076259,             0.85223,             0.16709,             0.18754,             0.11657,             0.03588,             0.01236,            0.079123,            0.007426,            0.007426,            0.007426
                  15,            0.038042,           0.0097055,            0.075707,             0.85755,             0.15549,             0.18198,             0.10828,            0.035216,            0.011801,             0.07769,            0.007228,            0.007228,            0.007228
                  16,            0.039027,            0.010131,            0.075231,             0.87176,             0.15414,             0.17998,             0.11306,            0.030848,            0.011916,            0.076526,             0.00703,             0.00703,             0.00703
                  17,            0.038012,           0.0095007,            0.072691,             0.86614,             0.14891,             0.20444,             0.12619,            0.032625,            0.011738,            0.074959,            0.006832,            0.006832,            0.006832
                  18,            0.037367,           0.0095118,            0.070607,             0.85923,             0.16591,             0.18567,             0.11176,            0.033085,            0.011903,            0.074086,            0.006634,            0.006634,            0.006634
                  19,            0.036996,           0.0094203,            0.071303,             0.86576,             0.19406,             0.20508,              0.1229,            0.031236,            0.011626,            0.072319,            0.006436,            0.006436,            0.006436
                  20,            0.036393,           0.0095043,            0.068204,             0.87002,             0.17921,             0.23422,             0.14962,            0.030426,             0.01145,            0.070651,            0.006238,            0.006238,            0.006238
                  21,            0.035453,           0.0089815,            0.068739,              0.8835,             0.18821,             0.23729,             0.13901,            0.032124,            0.011287,            0.069252,             0.00604,             0.00604,             0.00604
                  22,            0.034648,           0.0093283,            0.068293,             0.84996,             0.18342,             0.25222,             0.15121,            0.031248,             0.01172,             0.06828,            0.005842,            0.005842,            0.005842
                  23,             0.03415,           0.0091253,            0.066102,               0.806,             0.21538,             0.25569,             0.16057,            0.031996,             0.01147,            0.066944,            0.005644,            0.005644,            0.005644
                  24,            0.034254,           0.0093573,            0.063736,             0.81948,              0.2111,             0.25296,             0.14782,            0.031945,            0.011693,            0.066075,            0.005446,            0.005446,            0.005446
                  25,            0.033815,           0.0089426,            0.063349,             0.82984,             0.22381,             0.25319,             0.15963,            0.028749,            0.011001,            0.064934,            0.005248,            0.005248,            0.005248
                  26,            0.033059,           0.0089098,            0.062314,             0.84716,             0.21957,             0.25271,             0.16268,            0.029327,            0.011037,            0.063745,             0.00505,             0.00505,             0.00505
                  27,            0.032153,           0.0090756,            0.061194,             0.86553,             0.20061,             0.24976,             0.15934,            0.029074,            0.010861,            0.063102,            0.004852,            0.004852,            0.004852
                  28,            0.030964,           0.0088162,            0.060992,             0.83773,             0.23407,             0.26405,             0.16373,            0.028538,            0.010911,             0.06222,            0.004654,            0.004654,            0.004654
                  29,            0.031371,            0.008502,            0.060947,             0.80916,             0.24625,             0.26602,             0.16941,            0.029662,            0.011085,            0.061394,            0.004456,            0.004456,            0.004456
                  30,            0.029972,           0.0084589,            0.058312,             0.78045,             0.25494,             0.28787,             0.18912,            0.028458,            0.011045,            0.060479,            0.004258,            0.004258,            0.004258
                  31,            0.029844,           0.0083831,            0.057609,              0.8226,             0.25136,             0.29792,             0.19577,            0.028471,            0.010793,            0.059813,             0.00406,             0.00406,             0.00406
                  32,             0.02952,           0.0081173,            0.057768,             0.84552,             0.24811,             0.29858,             0.19016,            0.030131,            0.010808,            0.059493,            0.003862,            0.003862,            0.003862
                  33,            0.029389,           0.0084023,            0.057471,             0.84299,             0.24467,             0.29185,             0.19209,            0.028289,            0.010819,            0.058519,            0.003664,            0.003664,            0.003664
                  34,            0.028735,           0.0082275,            0.055417,             0.83398,              0.2432,             0.29564,             0.18677,            0.028292,            0.010598,            0.058176,            0.003466,            0.003466,            0.003466
                  35,            0.028498,           0.0080983,            0.055056,             0.85628,             0.24382,             0.29083,             0.19576,            0.028311,            0.010556,            0.057374,            0.003268,            0.003268,            0.003268
                  36,            0.027757,           0.0084754,            0.053872,             0.86025,             0.24486,             0.29836,             0.19898,            0.026674,            0.010411,            0.056949,             0.00307,             0.00307,             0.00307
                  37,            0.027825,           0.0083059,            0.055142,             0.85158,             0.25559,              0.3157,             0.20808,            0.027083,             0.01039,            0.056872,            0.002872,            0.002872,            0.002872
                  38,            0.026673,           0.0076186,            0.052959,             0.84345,             0.26019,             0.32874,             0.21211,            0.027894,            0.010215,            0.056466,            0.002674,            0.002674,            0.002674
                  39,             0.02715,           0.0077394,            0.051072,             0.85683,             0.25069,             0.33265,             0.21889,            0.026809,            0.010281,             0.05581,            0.002476,            0.002476,            0.002476
                  40,            0.025901,           0.0081278,            0.054904,             0.85645,             0.25112,             0.32901,             0.21953,             0.02655,            0.010393,            0.055427,            0.002278,            0.002278,            0.002278
                  41,            0.025513,           0.0081655,            0.051643,             0.85505,             0.25877,             0.32377,             0.21718,            0.025531,             0.01026,            0.055025,             0.00208,             0.00208,             0.00208
                  42,            0.024789,           0.0076183,            0.051751,             0.83173,             0.28869,             0.32785,             0.22084,            0.025438,            0.010167,            0.054699,            0.001882,            0.001882,            0.001882
                  43,            0.025014,           0.0080658,            0.053178,             0.82973,             0.28645,             0.31922,             0.21271,            0.026268,            0.010339,            0.054579,            0.001684,            0.001684,            0.001684
                  44,            0.024093,           0.0077098,            0.051969,             0.83321,             0.27077,             0.31891,             0.21298,            0.025526,            0.010325,            0.054446,            0.001486,            0.001486,            0.001486
                  45,            0.023787,           0.0074568,             0.05169,             0.85687,             0.26182,             0.31735,              0.2122,            0.026351,            0.010245,             0.05412,            0.001288,            0.001288,            0.001288
                  46,            0.023227,            0.007542,             0.05167,             0.83866,             0.28339,             0.31906,             0.21029,            0.025951,            0.010253,            0.053986,             0.00109,             0.00109,             0.00109
                  47,            0.023547,           0.0077583,            0.051827,             0.83638,             0.28809,             0.31677,              0.2124,            0.025525,            0.010345,            0.053728,            0.000892,            0.000892,            0.000892
                  48,             0.02254,           0.0076215,            0.049874,             0.83951,              0.2798,             0.31706,             0.21573,             0.02531,            0.010219,              0.0535,            0.000694,            0.000694,            0.000694
                  49,            0.022297,           0.0072783,            0.049665,             0.84718,             0.28097,             0.31549,             0.21291,            0.025205,            0.010209,            0.053311,            0.000496,            0.000496,            0.000496
